Indexador;idOcorrencia;Ocorrencia
1;593;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
2;569;I- a) realização de depósitos, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade econômico-financeira, - Banco Central do Brasil - Carta-Circular nº 3.542 - art. 1º
2;588;III- e) realização de operações em que não seja possível identificar o beneficiário final, observados os procedimentos definidos na regulamentação vigente, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
2;593;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
3;569;I- a) realização de depósitos, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade econômico-financeira, - Banco Central do Brasil - Carta-Circular nº 3.542 - art. 1º
3;592;III- i) incompatibilidade da atividade econômica ou faturamento informados com o padrão apresentado por clientes com o mesmo perfil, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
3;632;VIII-a) movimentações atípicas de recursos por agentes públicos, conforme definidos no art. 2º da Lei nº 8.429, de 2 de junho de 1992, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
4;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
4;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
4;1092;VII-d) movimentações atípicas de recursos por pessoa natural ou jurídica relacionadas a licitações. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
5;1040;III-j) incompatibilidade da atividade econômica ou faturamento informados com o padrão apresentado por clientes com o mesmo perfil. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
5;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
5;1092;VII-d) movimentações atípicas de recursos por pessoa natural ou jurídica relacionadas a licitações. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
6;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
6;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
7;1011;I-d) fragmentação de depósitos ou outro instrumento de transferência de recurso em espécie, inclusive boleto de pagamento, de forma a dissimular o valor total da movimentação. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
8;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
8;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
8;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
9;1163;Solicitação de provisionamento de saques em espécie de valor igual ou superior a R$50.000,00 (cinquenta mil reais) de que trata o art. 36. Banco Central do Brasil - Circular nº 3.978/2020, art. 49-III
10;1159;Saque em espécie de valor igual ou superior a R$50.000,00 (cinquenta mil reais). Banco Central do Brasil - Circular nº 3.978/2020, art. 49-I
11;1163;Solicitação de provisionamento de saques em espécie de valor igual ou superior a R$50.000,00 (cinquenta mil reais) de que trata o art. 36. Banco Central do Brasil - Circular nº 3.978/2020, art. 49-III
12;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
12;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
13;1159;Saque em espécie de valor igual ou superior a R$50.000,00 (cinquenta mil reais). Banco Central do Brasil - Circular nº 3.978/2020, art. 49-I
14;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
14;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
14;1056;IV-l) operações que, por sua habitualidade, valor e forma, configurem artifício para burla da identificação da origem, do destino, dos responsáveis ou dos destinatários finais. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
15;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
15;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
16;1163;Solicitação de provisionamento de saques em espécie de valor igual ou superior a R$50.000,00 (cinquenta mil reais) de que trata o art. 36. Banco Central do Brasil - Circular nº 3.978/2020, art. 49-III
17;1040;III-j) incompatibilidade da atividade econômica ou faturamento informados com o padrão apresentado por clientes com o mesmo perfil. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
