Indexador;idOcorrencia;Ocorrencia
1;635;VIII-d) movimentações atípicas de recursos por pessoa natural ou jurídica relacionados a licitações, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
2;592;III- i) incompatibilidade da atividade econômica ou faturamento informados com o padrão apresentado por clientes com o mesmo perfil, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
2;632;VIII-a) movimentações atípicas de recursos por agentes públicos, conforme definidos no art. 2º da Lei nº 8.429, de 2 de junho de 1992, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
3;576; I- h) realização de saques em espécie de conta que receba diversos depósitos por transferência eletrônica de várias origens em curto período de tempo, Banco Central do Brasil - Carta-Circular nº 3.542 - art. 1º
3;569;I- a) realização de depósitos, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade econômico-financeira, - Banco Central do Brasil - Carta-Circular nº 3.542 - art. 1º
3;588;III- e) realização de operações em que não seja possível identificar o beneficiário final, observados os procedimentos definidos na regulamentação vigente, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
3;593;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
3;604;IV-l) realização de operações que, por sua habitualidade, valor e forma, configurem artifício para burla da identificação da origem, do destino, dos responsáveis ou dos beneficiários finais, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
3;635;VIII-d) movimentações atípicas de recursos por pessoa natural ou jurídica relacionados a licitações, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
4;569;I- a) realização de depósitos, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade econômico-financeira, - Banco Central do Brasil - Carta-Circular nº 3.542 - art. 1º
4;588;III- e) realização de operações em que não seja possível identificar o beneficiário final, observados os procedimentos definidos na regulamentação vigente, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
4;592;III- i) incompatibilidade da atividade econômica ou faturamento informados com o padrão apresentado por clientes com o mesmo perfil, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
5;569;I- a) realização de depósitos, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade econômico-financeira, - Banco Central do Brasil - Carta-Circular nº 3.542 - art. 1º
5;593;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente, Banco Central do Brasil - Carta-Circular nº 3.542, art. 1º
